販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004101:刺身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00410101:白身,00410101:白身,00410101:白身,00410102:赤身,00410102:赤身,00410102:赤身,00410103:青身,00410103:青身,00410103:青身,00410104:貝類,00410104:貝類,00410104:貝類,00410105:いか･たこ,00410105:いか･たこ,00410105:いか･たこ,00410106:盛合せ,00410106:盛合せ,00410106:盛合せ,00410107:季節商品,00410107:季節商品,00410107:季節商品,00410108:刺身加工品,00410108:刺身加工品,00410108:刺身加工品,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410111:調味料,00410111:調味料,00410111:調味料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),3,"¥1,322,125",99.90%,39,"¥3,352,806",92.50%,9,"¥702,328",84.10%,8,"¥746,688",64.60%,30,"¥1,268,871",97.80%,15,"¥3,641,953",92.50%,52,"¥527,116",89.10%,24,"¥3,527,524",106.40%,31,"¥286,407",83.30%,14,"¥132,257",102.70%
2025年02週(2025/04/07~2025/04/13),6,"¥1,239,792",91.60%,16,"¥3,800,879",103.60%,24,"¥616,904",79.10%,7,"¥748,456",62.70%,24,"¥1,402,419",104.10%,25,"¥3,325,701",93.80%,45,"¥852,040",88.40%,32,"¥3,148,870",95.50%,48,"¥234,408",76.70%,16,"¥130,684",99.10%
2025年03週(2025/04/14~2025/04/20),2,"¥1,354,105",102.50%,13,"¥3,835,456",111.20%,38,"¥548,020",78.50%,6,"¥749,036",68.10%,32,"¥1,195,217",88.00%,17,"¥3,551,672",108.20%,29,"¥1,057,677",92.80%,27,"¥3,487,673",92.30%,38,"¥251,108",104.30%,6,"¥137,823",100.60%
2025年04週(2025/04/21~2025/04/27),13,"¥1,112,830",100.80%,19,"¥3,751,648",99.30%,39,"¥543,322",69.90%,9,"¥702,547",48.50%,25,"¥1,369,186",100.80%,23,"¥3,403,498",93.00%,22,"¥1,155,685",100.50%,28,"¥3,428,151",96.10%,50,"¥221,173",78.80%,23,"¥126,935",91.40%
2025年05週(2025/04/28~2025/05/04),9,"¥1,161,099",93.70%,10,"¥3,918,464",89.60%,27,"¥583,485",84.60%,3,"¥875,885",49.60%,16,"¥1,476,429",99.20%,5,"¥4,555,313",74.10%,23,"¥1,141,827",84.40%,25,"¥3,526,797",88.00%,10,"¥360,320",99.30%,10,"¥137,169",93.20%
2025年06週(2025/05/05~2025/05/11),4,"¥1,306,444",122.00%,6,"¥4,152,978",96.10%,18,"¥657,264",99.10%,4,"¥836,225",81.80%,20,"¥1,440,605",99.40%,4,"¥4,663,361",105.90%,16,"¥1,480,209",123.50%,19,"¥3,715,756",89.30%,24,"¥318,630",115.10%,18,"¥130,299",90.40%
2025年07週(2025/05/12~2025/05/18),10,"¥1,153,922",118.30%,9,"¥3,933,874",116.50%,45,"¥525,036",85.00%,17,"¥614,317",66.70%,28,"¥1,303,573",98.00%,29,"¥3,248,598",98.10%,18,"¥1,292,528",102.70%,17,"¥3,805,576",104.10%,5,"¥395,173",110.10%,21,"¥128,936",109.40%
2025年08週(2025/05/19~2025/05/25),8,"¥1,167,653",116.40%,7,"¥4,101,540",100.60%,49,"¥515,752",77.80%,13,"¥652,273",75.10%,27,"¥1,347,330",90.80%,26,"¥3,315,928",98.60%,19,"¥1,288,691",92.00%,18,"¥3,729,094",101.10%,30,"¥286,608",106.50%,20,"¥129,880",88.50%
2025年09週(2025/05/26~2025/06/01),24,"¥1,013,410",96.70%,20,"¥3,673,438",89.80%,25,"¥595,517",113.40%,14,"¥632,786",83.60%,26,"¥1,348,439",93.30%,34,"¥3,156,230",102.50%,17,"¥1,439,531",101.60%,26,"¥3,492,512",105.00%,36,"¥256,153",118.80%,29,"¥118,478",94.60%
2025年10週(2025/06/02~2025/06/08),12,"¥1,131,197",109.80%,8,"¥4,064,553",94.20%,51,"¥512,833",98.00%,16,"¥616,244",76.30%,18,"¥1,474,262",87.70%,40,"¥3,080,894",94.90%,13,"¥1,550,760",86.00%,23,"¥3,596,450",97.50%,16,"¥335,684",148.50%,22,"¥127,948",101.30%
2025年11週(2025/06/09~2025/06/15),22,"¥1,033,835",109.60%,12,"¥3,841,820",93.30%,21,"¥629,169",117.60%,12,"¥664,225",71.70%,21,"¥1,423,998",86.20%,7,"¥4,457,725",90.10%,5,"¥1,777,831",86.40%,29,"¥3,415,613",92.80%,37,"¥255,569",108.30%,28,"¥122,128",85.70%
2025年12週(2025/06/16~2025/06/22),7,"¥1,203,489",128.30%,5,"¥4,181,321",99.70%,23,"¥620,085",107.60%,31,"¥510,205",67.20%,29,"¥1,283,890",67.20%,28,"¥3,256,659",102.60%,12,"¥1,576,468",100.10%,22,"¥3,637,896",89.00%,39,"¥250,531",130.70%,9,"¥137,274",105.20%
2025年13週(2025/06/23~2025/06/29),25,"¥1,011,778",107.30%,17,"¥3,800,690",114.90%,37,"¥551,783",119.50%,20,"¥588,227",96.20%,14,"¥1,540,880",77.50%,42,"¥3,056,841",96.80%,9,"¥1,678,626",99.30%,30,"¥3,401,042",93.50%,40,"¥247,107",111.60%,2,"¥148,087",106.40%
2025年14週(2025/06/30~2025/07/06),16,"¥1,076,236",110.40%,29,"¥3,500,021",97.60%,8,"¥705,745",142.40%,32,"¥500,823",81.00%,4,"¥1,901,024",99.30%,38,"¥3,082,717",83.60%,14,"¥1,547,299",87.40%,21,"¥3,665,245",92.50%,41,"¥246,812",109.80%,11,"¥134,795",94.00%
2025年15週(2025/07/07~2025/07/13),14,"¥1,110,175",118.10%,32,"¥3,444,547",97.60%,34,"¥565,414",113.70%,29,"¥529,011",87.20%,7,"¥1,739,675",101.90%,27,"¥3,268,740",96.70%,6,"¥1,736,574",90.00%,10,"¥4,044,396",100.50%,51,"¥212,490",73.90%,8,"¥137,453",111.20%
