販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004102:切身･丸物,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,00410201:焼物用,00410201:焼物用,00410201:焼物用,00410202:煮物用,00410202:煮物用,00410202:煮物用,00410203:鍋物用,00410203:鍋物用,00410203:鍋物用,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410205:くじら,00410205:くじら,00410205:くじら,00410206:穴子,00410206:穴子,00410206:穴子,00410207:丸魚,00410207:丸魚,00410207:丸魚,00410208:季節の魚,00410208:季節の魚,00410208:季節の魚
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),43,"¥2,378,469 ",85.2%,4,"¥1,919,664 ",99.8%,25,"¥1,230,020 ",107.8%,26,"¥275,660 ",71.3%,8,"¥317,759 ",407.9%,30,"¥384,204 ",96.4%,13,"¥652,377 ",94.1%,46,"¥84,572 ",62.2%
2025年02週(2025/04/07~2025/04/13),21,"¥2,764,227 ",90.9%,19,"¥1,490,069 ",84.2%,29,"¥1,038,091 ",104.3%,14,"¥329,527 ",76.0%,39,"¥120,178 ",120.9%,27,"¥407,231 ",84.3%,8,"¥715,181 ",108.3%,52,"¥29,735 ",30.1%
2025年03週(2025/04/14~2025/04/20),10,"¥2,927,491 ",115.8%,23,"¥1,345,638 ",74.3%,26,"¥1,202,070 ",114.0%,3,"¥377,835 ",86.8%,6,"¥320,954 ",631.3%,46,"¥253,576 ",81.5%,14,"¥635,010 ",80.8%,51,"¥33,887 ",38.9%
2025年04週(2025/04/21~2025/04/27),20,"¥2,817,668 ",107.5%,28,"¥1,180,651 ",77.8%,30,"¥893,659 ",106.0%,12,"¥338,552 ",96.4%,36,"¥126,157 ",260.2%,52,"¥196,880 ",45.3%,2,"¥762,517 ",100.2%,50,"¥51,808 ",44.0%
2025年05週(2025/04/28~2025/05/04),24,"¥2,687,042 ",104.7%,29,"¥1,100,268 ",79.4%,31,"¥834,811 ",102.0%,9,"¥341,979 ",98.8%,49,"¥82,673 ",186.3%,7,"¥643,936 ",109.3%,12,"¥654,529 ",98.4%,47,"¥60,995 ",63.2%
2025年06週(2025/05/05~2025/05/11),15,"¥2,858,247 ",105.1%,30,"¥1,073,834 ",78.6%,33,"¥692,145 ",73.9%,18,"¥317,442 ",94.6%,50,"¥59,034 ",71.5%,44,"¥279,172 ",83.7%,16,"¥601,421 ",89.5%,49,"¥54,954 ",72.4%
2025年07週(2025/05/12~2025/05/18),3,"¥3,173,905 ",106.8%,33,"¥967,608 ",64.6%,36,"¥677,112 ",96.7%,10,"¥338,647 ",75.9%,16,"¥244,853 ",121.0%,13,"¥528,462 ",165.7%,10,"¥710,913 ",106.6%,48,"¥60,399 ",56.8%
2025年08週(2025/05/19~2025/05/25),13,"¥2,891,500 ",103.8%,40,"¥771,885 ",58.4%,37,"¥669,443 ",101.6%,11,"¥338,622 ",85.4%,35,"¥126,896 ",168.0%,18,"¥456,461 ",181.9%,4,"¥739,311 ",96.6%,45,"¥108,267 ",81.0%
2025年09週(2025/05/26~2025/06/01),19,"¥2,837,376 ",99.6%,31,"¥1,049,953 ",92.4%,35,"¥687,065 ",101.3%,8,"¥344,118 ",82.6%,10,"¥302,184 ",487.1%,19,"¥447,353 ",77.3%,3,"¥760,685 ",101.9%,44,"¥166,057 ",115.5%
2025年10週(2025/06/02~2025/06/08),9,"¥2,952,592 ",108.0%,32,"¥973,611 ",124.2%,44,"¥583,791 ",88.8%,6,"¥360,150 ",66.6%,38,"¥124,204 ",88.1%,32,"¥378,175 ",83.9%,6,"¥724,862 ",87.1%,42,"¥186,343 ",141.1%
2025年11週(2025/06/09~2025/06/15),6,"¥3,032,594 ",103.7%,37,"¥830,861 ",114.2%,34,"¥687,887 ",118.3%,21,"¥306,617 ",70.8%,11,"¥283,021 ",66.5%,33,"¥375,193 ",78.7%,5,"¥734,325 ",95.9%,43,"¥177,452 ",106.5%
2025年12週(2025/06/16~2025/06/22),29,"¥2,652,822 ",89.9%,42,"¥769,431 ",130.1%,45,"¥579,623 ",95.9%,5,"¥365,350 ",72.7%,33,"¥130,752 ",60.0%,43,"¥282,143 ",79.7%,1,"¥793,684 ",112.9%,35,"¥257,878 ",123.8%
2025年13週(2025/06/23~2025/06/29),12,"¥2,916,136 ",102.3%,43,"¥761,747 ",103.3%,50,"¥545,302 ",82.6%,1,"¥430,391 ",99.2%,15,"¥249,591 ",271.4%,37,"¥369,209 ",86.4%,9,"¥714,158 ",97.0%,39,"¥222,491 ",114.2%
2025年14週(2025/06/30~2025/07/06),8,"¥2,975,222 ",106.3%,46,"¥717,448 ",92.9%,51,"¥539,177 ",87.0%,4,"¥372,211 ",79.5%,41,"¥112,224 ",111.0%,36,"¥369,325 ",101.5%,7,"¥715,284 ",89.0%,37,"¥230,198 ",96.1%
