販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004103:甲殻類,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00410301:貝類,00410301:貝類,00410301:貝類,00410302:海老類,00410302:海老類,00410302:海老類,00410303:いか･たこ,00410303:いか･たこ,00410303:いか･たこ,00410304:かに類,00410304:かに類,00410304:かに類,00410305:海藻類,00410305:海藻類,00410305:海藻類,00410306:冷凍かに,00410306:冷凍かに,00410306:冷凍かに,00410307:冷凍えび,00410307:冷凍えび,00410307:冷凍えび,00410308:冷凍品,00410308:冷凍品,00410308:冷凍品,00410309:調味料,00410309:調味料,00410309:調味料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),20,"¥2,026,826 ",87.2%,42,"¥1,141,052 ",106.7%,20,"¥1,381,204 ",95.0%,23,"¥400,942 ",43.5%,16,"¥153,555 ",134.3%,20,"¥88,340 ",381.3%,29,"¥15,936 ",45.1%,12,"¥262,874 ",85.0%,16,"¥28,061 ",202.9%
2025年02週(2025/04/07~2025/04/13),23,"¥1,861,552 ",88.5%,12,"¥1,434,155 ",135.3%,17,"¥1,439,478 ",102.0%,26,"¥375,014 ",61.6%,21,"¥134,038 ",124.3%,22,"¥73,746 ",342.9%,39,"¥12,381 ",34.3%,15,"¥260,299 ",82.1%,5,"¥33,544 ",149.0%
2025年03週(2025/04/14~2025/04/20),27,"¥1,671,234 ",77.5%,46,"¥1,111,517 ",118.8%,30,"¥838,928 ",60.5%,36,"¥305,168 ",82.2%,6,"¥169,346 ",220.4%,27,"¥25,942 ",176.5%,17,"¥24,362 ",53.2%,7,"¥282,788 ",89.6%,12,"¥28,564 ",194.3%
2025年04週(2025/04/21~2025/04/27),25,"¥1,709,863 ",79.4%,7,"¥1,497,466 ",82.9%,26,"¥1,147,741 ",96.4%,19,"¥448,716 ",53.7%,2,"¥233,814 ",346.6%,25,"¥45,406 ",433.1%,41,"¥11,374 ",26.1%,16,"¥260,206 ",97.8%,3,"¥36,392 ",124.1%
2025年05週(2025/04/28~2025/05/04),24,"¥1,725,898 ",83.4%,3,"¥1,706,375 ",93.4%,23,"¥1,218,461 ",95.7%,14,"¥551,725 ",47.2%,5,"¥200,890 ",347.2%,23,"¥67,790 ",0.0%,32,"¥14,561 ",23.8%,10,"¥264,203 ",86.0%,45,"¥20,186 ",97.4%
2025年06週(2025/05/05~2025/05/11),30,"¥1,437,163 ",88.8%,5,"¥1,507,168 ",107.4%,11,"¥1,592,208 ",107.2%,20,"¥426,236 ",66.4%,7,"¥168,411 ",229.8%,26,"¥26,588 ",0.0%,44,"¥11,149 ",32.3%,17,"¥257,859 ",82.1%,27,"¥24,117 ",105.3%
2025年07週(2025/05/12~2025/05/18),31,"¥1,378,869 ",75.4%,16,"¥1,412,127 ",109.0%,15,"¥1,499,071 ",110.5%,38,"¥293,727 ",85.7%,4,"¥209,528 ",325.3%,35,"¥6,480 ",90.5%,26,"¥18,399 ",29.5%,19,"¥254,435 ",78.6%,23,"¥26,750 ",95.3%
2025年08週(2025/05/19~2025/05/25),29,"¥1,466,880 ",90.9%,41,"¥1,152,967 ",94.4%,12,"¥1,579,380 ",104.1%,25,"¥381,578 ",117.8%,14,"¥156,447 ",118.2%,36,"¥2,280 ",0.0%,48,"¥8,695 ",17.9%,6,"¥310,615 ",94.6%,10,"¥28,811 ",126.9%
2025年09週(2025/05/26~2025/06/01),33,"¥1,282,400 ",75.1%,39,"¥1,203,427 ",88.0%,9,"¥1,639,876 ",117.4%,39,"¥288,724 ",141.0%,11,"¥159,477 ",99.0%,37,¥0 ,0.0%,49,"¥8,394 ",28.5%,3,"¥316,832 ",95.1%,4,"¥36,168 ",109.7%
2025年10週(2025/06/02~2025/06/08),38,"¥1,143,833 ",71.9%,15,"¥1,419,453 ",133.6%,13,"¥1,577,571 ",89.0%,40,"¥270,797 ",62.2%,13,"¥157,009 ",99.4%,31,"¥16,680 ",931.8%,36,"¥13,199 ",31.7%,5,"¥311,067 ",90.8%,21,"¥27,373 ",152.5%
2025年11週(2025/06/09~2025/06/15),35,"¥1,229,406 ",75.6%,18,"¥1,354,334 ",95.4%,4,"¥1,749,083 ",95.5%,45,"¥209,028 ",45.2%,19,"¥148,005 ",97.5%,29,"¥24,132 ",0.0%,23,"¥20,434 ",45.1%,18,"¥254,867 ",88.9%,19,"¥27,761 ",122.0%
2025年12週(2025/06/16~2025/06/22),36,"¥1,182,068 ",74.9%,22,"¥1,313,034 ",136.9%,10,"¥1,602,082 ",110.6%,41,"¥268,437 ",65.6%,12,"¥159,113 ",110.6%,34,"¥6,860 ",0.0%,33,"¥14,547 ",28.4%,24,"¥246,284 ",84.7%,31,"¥22,885 ",134.0%
2025年13週(2025/06/23~2025/06/29),39,"¥1,128,623 ",72.7%,44,"¥1,134,314 ",82.2%,6,"¥1,732,146 ",101.0%,31,"¥354,521 ",101.4%,20,"¥139,142 ",91.3%,30,"¥18,790 ",0.0%,31,"¥14,968 ",40.1%,21,"¥253,364 ",94.9%,26,"¥24,267 ",110.6%
2025年14週(2025/06/30~2025/07/06),45,"¥1,058,324 ",72.3%,11,"¥1,438,066 ",136.0%,2,"¥1,810,817 ",107.1%,33,"¥340,806 ",88.9%,24,"¥130,551 ",85.5%,38,¥0 ,0.0%,42,"¥11,343 ",37.2%,23,"¥249,887 ",93.9%,47,"¥19,984 ",89.0%
2025年15週(2025/07/07~2025/07/13),42,"¥1,111,548 ",99.0%,27,"¥1,272,973 ",80.9%,14,"¥1,507,603 ",90.0%,42,"¥252,880 ",78.7%,18,"¥150,802 ",97.9%,39,¥0 ,0.0%,38,"¥13,006 ",31.9%,9,"¥267,346 ",107.0%,44,"¥20,489 ",82.1%
2025年16週(2025/07/14~2025/07/20),21,"¥1,964,150 ",132.9%,43,"¥1,139,964 ",75.5%,19,"¥1,411,652 ",78.4%,48,"¥179,900 ",55.8%,25,"¥125,585 ",80.4%,40,¥0 ,0.0%,46,"¥10,876 ",19.0%,39,"¥231,888 ",91.4%,15,"¥28,219 ",99.7%
2025年17週(2025/07/21~2025/07/27),44,"¥1,087,090 ",56.1%,19,"¥1,332,883 ",103.5%,1,"¥1,816,142 ",120.1%,46,"¥201,313 ",75.2%,34,"¥89,272 ",55.9%,41,¥0 ,0.0%,27,"¥17,488 ",35.4%,30,"¥238,540 ",95.9%,36,"¥21,988 ",148.6%
2025年18週(2025/07/28~2025/08/03),43,"¥1,107,088 ",94.0%,17,"¥1,396,013 ",101.6%,7,"¥1,672,944 ",99.5%,50,"¥139,658 ",49.9%,33,"¥90,245 ",60.6%,42,¥0 ,0.0%,40,"¥12,178 ",19.2%,22,"¥251,450 ",106.5%,32,"¥22,554 ",85.7%
2025年19週(2025/08/04~2025/08/10),51,"¥963,204 ",79.6%,10,"¥1,446,829 ",105.8%,5,"¥1,745,242 ",101.7%,37,"¥302,890 ",86.1%,26,"¥114,985 ",77.9%,43,¥0 ,0.0%,35,"¥13,592 ",30.6%,36,"¥233,549 ",90.2%,9,"¥29,653 ",153.2%
2025年20週(2025/08/11~2025/08/17),41,"¥1,115,962 ",100.5%,6,"¥1,501,314 ",97.5%,3,"¥1,798,624 ",100.5%,17,"¥460,510 ",76.7%,52,"¥47,172 ",30.2%,32,"¥11,245 ",0.0%,52,"¥6,274 ",8.0%,11,"¥263,610 ",93.7%,28,"¥24,044 ",115.1%
2025年21週(2025/08/18~2025/08/24),52,"¥955,534 ",92.0%,31,"¥1,262,590 ",85.7%,8,"¥1,655,131 ",92.7%,44,"¥210,679 ",99.2%,50,"¥68,578 ",45.2%,44,¥0 ,0.0%,45,"¥11,134 ",22.7%,25,"¥246,089 ",82.9%,39,"¥21,443 ",92.0%
