販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒042:塩乾物,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,004201:鮭類,004201:鮭類,004201:鮭類,004202:魚類干し物,004202:魚類干し物,004202:魚類干し物,004203:冷凍塩干,004203:冷凍塩干,004203:冷凍塩干,004204:魚類漬け物,004204:魚類漬け物,004204:魚類漬け物,004205:加熱加工品,004205:加熱加工品,004205:加熱加工品,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),44,"¥2,297,373 ",97.5%,45,"¥2,857,232 ",85.5%,21,"¥225,258 ",67.1%,51,"¥3,142,022 ",93.5%,3,"¥4,911,996 ",111.2%,43,(¥499),0.0%
2025年02週(2025/04/07~2025/04/13),36,"¥2,498,232 ",86.2%,46,"¥2,839,982 ",93.4%,8,"¥281,646 ",90.2%,40,"¥3,441,820 ",92.5%,4,"¥4,287,482 ",95.6%,42,(¥440),102.3%
2025年03週(2025/04/14~2025/04/20),16,"¥2,916,472 ",138.2%,8,"¥3,495,172 ",116.1%,4,"¥355,825 ",115.3%,52,"¥2,973,875 ",97.2%,5,"¥4,124,682 ",90.2%,29,(¥100),6.8%
2025年04週(2025/04/21~2025/04/27),33,"¥2,651,808 ",102.3%,26,"¥3,165,931 ",100.9%,28,"¥182,709 ",72.6%,48,"¥3,221,420 ",90.7%,9,"¥3,462,127 ",85.9%,33,(¥180),-257.1%
2025年05週(2025/04/28~2025/05/04),52,"¥2,038,063 ",91.8%,51,"¥2,650,829 ",91.7%,26,"¥196,341 ",71.1%,5,"¥4,870,289 ",102.7%,8,"¥3,846,518 ",111.8%,3,"¥2,334 ",0.0%
2025年06週(2025/05/05~2025/05/11),32,"¥2,658,915 ",98.9%,34,"¥3,048,642 ",105.2%,14,"¥257,419 ",63.8%,46,"¥3,278,203 ",111.1%,10,"¥3,123,167 ",78.2%,35,(¥204),-19.3%
2025年07週(2025/05/12~2025/05/18),45,"¥2,295,444 ",112.0%,47,"¥2,795,816 ",93.2%,5,"¥349,038 ",104.2%,21,"¥3,754,202 ",103.5%,13,"¥2,713,232 ",81.0%,13,¥499 ,0.0%
2025年08週(2025/05/19~2025/05/25),43,"¥2,328,242 ",86.1%,15,"¥3,311,859 ",96.3%,23,"¥215,114 ",98.0%,17,"¥3,840,140 ",135.6%,15,"¥2,547,215 ",75.1%,51,"(¥1,401)",-47.5%
2025年09週(2025/05/26~2025/06/01),21,"¥2,885,299 ",135.1%,16,"¥3,285,787 ",101.0%,33,"¥162,576 ",89.6%,41,"¥3,419,360 ",115.0%,12,"¥2,764,840 ",100.6%,16,¥299 ,74.9%
2025年10週(2025/06/02~2025/06/08),30,"¥2,709,265 ",93.0%,36,"¥3,011,072 ",94.7%,27,"¥193,644 ",39.2%,13,"¥3,986,127 ",121.9%,19,"¥2,462,693 ",82.9%,31,(¥130),-7.4%
2025年11週(2025/06/09~2025/06/15),42,"¥2,335,173 ",111.1%,18,"¥3,249,802 ",90.4%,1,"¥381,535 ",171.0%,31,"¥3,529,197 ",103.3%,16,"¥2,535,369 ",96.6%,28,(¥50),-3.1%
2025年12週(2025/06/16~2025/06/22),39,"¥2,417,277 ",113.3%,10,"¥3,409,979 ",106.2%,3,"¥365,900 ",131.0%,25,"¥3,641,191 ",108.4%,20,"¥2,380,188 ",91.2%,10,¥624 ,32.6%
2025年13週(2025/06/23~2025/06/29),31,"¥2,668,882 ",103.0%,40,"¥2,939,457 ",81.4%,11,"¥264,592 ",105.8%,12,"¥4,013,557 ",132.8%,23,"¥2,217,479 ",89.0%,5,"¥1,490 ",-188.8%
2025年14週(2025/06/30~2025/07/06),37,"¥2,446,733 ",103.5%,11,"¥3,345,094 ",110.4%,19,"¥233,813 ",49.8%,39,"¥3,446,456 ",103.4%,25,"¥2,209,100 ",92.6%,19,¥0 ,0.0%
2025年15週(2025/07/07~2025/07/13),48,"¥2,180,468 ",110.4%,20,"¥3,218,519 ",105.2%,10,"¥265,559 ",105.2%,38,"¥3,454,214 ",100.6%,21,"¥2,293,513 ",91.8%,48,(¥799),-330.2%
2025年16週(2025/07/14~2025/07/20),29,"¥2,728,301 ",108.6%,49,"¥2,739,586 ",75.6%,22,"¥220,365 ",67.6%,34,"¥3,491,836 ",120.9%,22,"¥2,233,962 ",97.4%,2,"¥2,939 ",-773.4%
2025年17週(2025/07/21~2025/07/27),50,"¥2,099,944 ",101.1%,19,"¥3,226,692 ",109.8%,2,"¥369,040 ",142.8%,20,"¥3,758,346 ",110.5%,32,"¥2,070,706 ",88.7%,52,"(¥2,056)",5271.8%
2025年18週(2025/07/28~2025/08/03),49,"¥2,108,441 ",88.9%,42,"¥2,895,897 ",94.8%,13,"¥263,250 ",112.6%,11,"¥4,081,589 ",108.3%,30,"¥2,108,019 ",95.9%,36,(¥213),23.7%
2025年19週(2025/08/04~2025/08/10),34,"¥2,589,431 ",105.6%,41,"¥2,931,282 ",90.6%,9,"¥277,536 ",64.0%,43,"¥3,360,260 ",98.3%,24,"¥2,215,138 ",98.1%,7,¥965 ,-482.5%
2025年20週(2025/08/11~2025/08/17),12,"¥2,994,185 ",99.2%,39,"¥2,958,105 ",94.8%,18,"¥240,549 ",80.9%,8,"¥4,187,318 ",113.0%,28,"¥2,129,357 ",99.5%,15,¥399 ,-55.6%
2025年21週(2025/08/18~2025/08/24),47,"¥2,183,470 ",94.8%,5,"¥3,644,109 ",97.0%,7,"¥284,730 ",73.6%,22,"¥3,712,578 ",109.5%,27,"¥2,130,904 ",92.6%,38,(¥300),12.7%
2025年22週(2025/08/25~2025/08/31),17,"¥2,894,111 ",102.4%,7,"¥3,507,644 ",99.6%,17,"¥243,308 ",77.3%,27,"¥3,614,031 ",104.5%,29,"¥2,118,078 ",94.0%,1,"¥3,321 ",-143.3%
