販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：05:惣菜⇒052:麺・つゆ⇒005202:麺ｾｯﾄ類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00520201:温うどん定番,00520201:温うどん定番,00520201:温うどん定番,00520202:温うどんｽﾎﾟ,00520202:温うどんｽﾎﾟ,00520202:温うどんｽﾎﾟ,00520203:冷うどん定番,00520203:冷うどん定番,00520203:冷うどん定番,00520204:冷うどんｽﾎﾟ,00520204:冷うどんｽﾎﾟ,00520204:冷うどんｽﾎﾟ,00520205:温そば定番,00520205:温そば定番,00520205:温そば定番,00520206:温そばｽﾎﾟ,00520206:温そばｽﾎﾟ,00520206:温そばｽﾎﾟ,00520207:冷そば定番,00520207:冷そば定番,00520207:冷そば定番,00520209:温そうめん定,00520209:温そうめん定,00520209:温そうめん定,00520211:冷そうめん定,00520211:冷そうめん定,00520211:冷そうめん定,00520213:中華麺ｾｯﾄ,00520213:中華麺ｾｯﾄ,00520213:中華麺ｾｯﾄ,00520214:冷中華麺定番,00520214:冷中華麺定番,00520214:冷中華麺定番,00520215:冷中華麺ｽﾎﾟ,00520215:冷中華麺ｽﾎﾟ,00520215:冷中華麺ｽﾎﾟ,00520216:温中華麺定番,00520216:温中華麺定番,00520216:温中華麺定番,00520218:鍋ｾｯﾄ定番,00520218:鍋ｾｯﾄ定番,00520218:鍋ｾｯﾄ定番
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),1,"¥1,171,831",130.10%,3,¥0,0.00%,25,¥0,0.00%,1,¥0,0.00%,18,"¥207,671",93.20%,4,¥0,0.00%,27,"¥257,141",62.40%,24,"¥386,653",72.40%,25,"¥153,670",75.20%,13,"¥395,673",89.10%,26,"¥822,299",81.40%,4,¥0,0.00%,4,"¥518,558",84.80%,28,"¥961,419",139.90%
2025年02週(2025/04/07~2025/04/13),4,"¥1,068,315",142.60%,4,¥0,0.00%,26,¥0,0.00%,2,¥0,0.00%,27,"¥186,815",94.90%,5,¥0,0.00%,25,"¥430,490",98.00%,29,"¥368,637",73.80%,26,"¥151,963",72.60%,3,"¥428,771",100.50%,25,"¥1,073,116",82.70%,5,¥0,0.00%,10,"¥488,716",80.30%,29,"¥643,324",116.40%
2025年03週(2025/04/14~2025/04/20),22,"¥865,776",123.90%,5,¥0,0.00%,27,¥0,0.00%,3,¥0,0.00%,28,"¥184,518",86.10%,6,¥0,0.00%,23,"¥476,290",82.60%,11,"¥469,739",107.60%,23,"¥224,024",90.70%,5,"¥416,681",91.70%,23,"¥1,288,773",90.50%,6,¥0,0.00%,6,"¥513,566",92.90%,30,"¥391,749",108.10%
2025年04週(2025/04/21~2025/04/27),32,"¥666,334",89.90%,6,¥0,0.00%,16,"¥153,947",163.20%,4,¥0,0.00%,33,"¥172,628",92.10%,7,¥0,0.00%,18,"¥693,719",99.00%,27,"¥374,031",90.70%,20,"¥334,030",116.70%,17,"¥382,732",90.20%,21,"¥1,614,020",87.50%,7,¥0,0.00%,16,"¥451,357",69.90%,32,"¥155,044",65.50%
2025年05週(2025/04/28~2025/05/04),29,"¥718,335",103.00%,7,¥0,0.00%,9,"¥177,177",87.10%,5,¥0,0.00%,32,"¥173,125",87.50%,8,¥0,0.00%,15,"¥756,762",95.50%,32,"¥364,740",82.00%,24,"¥204,795",58.80%,19,"¥373,605",85.90%,20,"¥1,728,618",78.50%,8,¥0,0.00%,3,"¥522,167",85.70%,33,"¥134,995",79.40%
2025年06週(2025/05/05~2025/05/11),31,"¥691,134",92.50%,8,¥0,0.00%,13,"¥173,138",112.10%,6,¥0,0.00%,30,"¥180,209",91.90%,9,¥0,0.00%,20,"¥665,290",95.70%,25,"¥386,511",96.10%,19,"¥335,114",102.50%,4,"¥423,834",94.90%,19,"¥1,827,933",89.60%,9,¥0,0.00%,7,"¥512,326",87.70%,35,"¥48,412",36.50%
2025年07週(2025/05/12~2025/05/18),34,"¥661,509",113.10%,9,¥0,0.00%,10,"¥174,994",85.40%,7,¥0,0.00%,35,"¥166,169",90.70%,10,¥0,0.00%,19,"¥673,599",105.50%,34,"¥322,116",72.40%,21,"¥240,323",66.90%,21,"¥364,260",94.30%,16,"¥2,251,564",106.10%,10,¥0,0.00%,13,"¥466,444",88.10%,36,¥0,0.00%
2025年08週(2025/05/19~2025/05/25),33,"¥663,495",117.70%,10,¥0,0.00%,17,"¥152,757",65.40%,8,¥0,0.00%,34,"¥170,597",104.60%,11,¥0,0.00%,17,"¥696,954",94.60%,36,"¥308,966",84.50%,17,"¥444,956",80.60%,15,"¥383,537",98.70%,14,"¥2,293,044",83.60%,11,¥0,0.00%,11,"¥470,101",98.80%,37,¥0,0.00%
2025年09週(2025/05/26~2025/06/01),28,"¥792,696",136.80%,11,¥0,0.00%,19,"¥147,491",55.10%,9,¥0,0.00%,39,"¥151,879",83.00%,12,¥0,0.00%,16,"¥714,017",108.40%,31,"¥365,633",110.40%,18,"¥385,946",59.60%,20,"¥367,005",97.50%,13,"¥2,310,330",97.10%,12,¥0,0.00%,5,"¥515,329",99.20%,38,¥0,0.00%
2025年10週(2025/06/02~2025/06/08),39,"¥502,667",98.40%,12,¥0,0.00%,18,"¥149,647",56.80%,10,¥0,0.00%,37,"¥162,000",88.70%,13,¥0,0.00%,21,"¥650,618",84.20%,37,"¥307,545",87.40%,13,"¥592,070",81.30%,14,"¥387,200",100.90%,12,"¥2,371,568",89.30%,13,¥0,0.00%,19,"¥448,164",102.90%,39,¥0,0.00%
2025年11週(2025/06/09~2025/06/15),38,"¥507,542",112.10%,13,¥0,0.00%,20,"¥137,206",52.00%,11,¥0,0.00%,36,"¥162,164",96.20%,14,¥0,0.00%,14,"¥802,013",106.30%,30,"¥365,963",97.70%,15,"¥492,259",67.30%,12,"¥395,729",95.80%,15,"¥2,272,467",80.10%,14,¥0,0.00%,21,"¥445,582",95.90%,40,¥0,0.00%
2025年12週(2025/06/16~2025/06/22),41,"¥430,018",91.10%,14,¥0,0.00%,12,"¥173,761",40.30%,12,¥0,0.00%,40,"¥146,699",90.40%,15,¥0,0.00%,11,"¥898,905",99.60%,38,"¥300,481",95.90%,12,"¥626,637",93.00%,16,"¥383,185",105.90%,11,"¥2,695,220",105.80%,15,¥0,0.00%,29,"¥430,781",86.80%,41,¥0,0.00%
2025年13週(2025/06/23~2025/06/29),40,"¥465,386",105.50%,15,¥0,0.00%,8,"¥180,986",70.60%,13,¥0,0.00%,42,"¥132,732",79.50%,16,¥0,0.00%,12,"¥840,176",90.80%,43,"¥240,111",88.10%,9,"¥673,635",84.40%,29,"¥339,111",99.10%,8,"¥3,171,894",109.00%,16,¥0,0.00%,46,"¥379,403",83.20%,42,¥0,0.00%
2025年14週(2025/06/30~2025/07/06),44,"¥401,517",88.90%,16,¥0,0.00%,2,"¥217,389",100.80%,14,¥0,0.00%,46,"¥122,806",81.60%,17,¥0,0.00%,8,"¥935,529",101.00%,42,"¥244,711",94.20%,11,"¥634,059",83.10%,23,"¥360,776",104.50%,4,"¥3,591,335",117.10%,17,¥0,0.00%,48,"¥369,292",83.70%,43,¥0,0.00%
2025年15週(2025/07/07~2025/07/13),52,"¥332,343",80.60%,17,¥0,0.00%,1,"¥243,001",93.90%,15,¥0,0.00%,44,"¥126,700",77.70%,18,¥0,0.00%,5,"¥1,061,243",118.30%,48,"¥212,014",71.40%,8,"¥684,467",87.60%,32,"¥332,499",95.60%,7,"¥3,212,745",105.20%,18,¥0,0.00%,42,"¥390,209",80.50%,44,¥0,0.00%
2025年16週(2025/07/14~2025/07/20),45,"¥400,394",106.10%,18,¥0,0.00%,3,"¥217,099",68.10%,16,¥0,0.00%,50,"¥116,134",77.00%,19,¥0,0.00%,6,"¥1,052,272",90.70%,49,"¥205,798",83.80%,10,"¥664,402",64.50%,26,"¥351,015",93.10%,6,"¥3,253,012",85.80%,19,¥0,0.00%,52,"¥329,025",77.80%,45,¥0,0.00%
2025年17週(2025/07/21~2025/07/27),46,"¥399,830",116.80%,19,¥0,0.00%,5,"¥212,670",82.30%,17,¥0,0.00%,52,"¥110,981",80.50%,20,¥0,0.00%,2,"¥1,118,818",95.30%,51,"¥192,821",76.90%,4,"¥802,129",83.00%,18,"¥379,116",107.70%,2,"¥3,684,196",89.80%,20,¥0,0.00%,50,"¥345,012",80.80%,46,¥0,0.00%
2025年18週(2025/07/28~2025/08/03),51,"¥333,492",97.50%,20,¥0,0.00%,4,"¥216,919",81.80%,18,¥0,0.00%,51,"¥113,388",76.50%,21,¥0,0.00%,1,"¥1,173,408",99.40%,50,"¥195,503",78.00%,1,"¥969,722",85.30%,27,"¥344,053",95.70%,3,"¥3,641,018",89.80%,1,"¥22,475",0.00%,51,"¥344,522",78.90%,47,¥0,0.00%
2025年19週(2025/08/04~2025/08/10),47,"¥394,888",103.90%,21,¥0,0.00%,7,"¥186,249",70.60%,19,¥0,0.00%,49,"¥119,159",89.50%,22,¥0,0.00%,3,"¥1,113,105",95.10%,52,"¥189,894",71.10%,3,"¥838,317",86.50%,30,"¥337,080",87.90%,5,"¥3,264,153",82.10%,2,"¥20,225",0.00%,47,"¥373,211",80.80%,48,¥0,0.00%
2025年20週(2025/08/11~2025/08/17),48,"¥392,989",87.50%,22,¥0,0.00%,6,"¥189,539",82.00%,20,¥0,0.00%,47,"¥120,150",89.40%,23,¥0,0.00%,4,"¥1,091,830",90.70%,46,"¥217,470",80.90%,2,"¥937,964",90.10%,28,"¥341,620",91.70%,1,"¥4,127,458",91.10%,3,¥899,0.00%,35,"¥415,559",78.90%,49,¥0,0.00%
2025年21週(2025/08/18~2025/08/24),50,"¥333,842",85.50%,23,¥0,0.00%,14,"¥172,677",78.00%,21,¥0,0.00%,48,"¥119,379",82.50%,24,¥0,0.00%,9,"¥914,351",91.80%,47,"¥213,514",85.40%,5,"¥771,206",83.40%,7,"¥410,070",95.60%,9,"¥3,106,978",78.20%,21,¥0,0.00%,49,"¥363,910",74.40%,50,¥0,0.00%
2025年22週(2025/08/25~2025/08/31),49,"¥384,896",81.70%,24,¥0,0.00%,11,"¥174,518",102.00%,22,¥0,0.00%,45,"¥125,345",76.10%,25,¥0,0.00%,7,"¥986,050",98.50%,45,"¥219,492",69.30%,7,"¥700,834",93.00%,25,"¥355,127",90.20%,10,"¥2,851,984",104.00%,22,¥0,0.00%,44,"¥385,977",75.30%,51,¥0,0.00%
2025年23週(2025/09/01~2025/09/07),43,"¥403,782",88.20%,25,¥0,0.00%,15,"¥172,134",118.30%,23,¥0,0.00%,43,"¥126,886",86.20%,26,¥0,0.00%,10,"¥903,612",99.70%,44,"¥228,938",75.70%,6,"¥736,436",124.10%,1,"¥461,965",128.80%,17,"¥2,246,335",91.50%,23,¥0,0.00%,41,"¥390,908",89.00%,52,¥0,0.00%
2025年24週(2025/09/08~2025/09/14),42,"¥414,869",101.40%,26,¥0,0.00%,21,"¥117,839",174.00%,24,¥0,0.00%,41,"¥144,807",89.90%,27,¥0,0.00%,13,"¥826,580",111.40%,41,"¥245,561",54.60%,14,"¥544,893",137.70%,2,"¥430,058",105.50%,18,"¥1,864,733",100.30%,24,¥0,0.00%,40,"¥393,791",84.20%,34,"¥111,034",30.00%
2025年25週(2025/09/15~2025/09/21),36,"¥613,918",79.70%,27,¥0,0.00%,22,"¥55,187",8704.60%,25,¥0,0.00%,38,"¥154,590",94.20%,28,¥0,0.00%,22,"¥544,007",100.20%,40,"¥272,539",91.40%,16,"¥470,726",142.00%,8,"¥407,510",104.20%,22,"¥1,576,178",101.10%,25,¥0,0.00%,24,"¥438,045",89.50%,31,"¥350,879",33.90%
2025年26週(2025/09/22~2025/09/28),37,"¥603,876",82.40%,28,¥0,0.00%,23,"¥35,630",0.00%,26,¥0,0.00%,8,"¥224,526",102.00%,29,¥0,0.00%,24,"¥466,369",90.80%,35,"¥312,520",77.20%,22,"¥234,826",97.30%,11,"¥396,578",90.30%,24,"¥1,101,055",104.90%,26,¥0,0.00%,25,"¥435,497",79.40%,27,"¥1,014,642",77.10%
2025年27週(2025/09/29~2025/10/05),35,"¥652,272",72.80%,29,¥0,0.00%,24,"¥12,436",0.00%,27,¥0,0.00%,31,"¥175,927",98.00%,30,¥0,0.00%,28,"¥240,270",69.00%,14,"¥453,840",104.60%,27,"¥126,707",87.40%,36,"¥319,149",83.80%,28,"¥516,568",92.60%,27,¥0,0.00%,30,"¥428,079",93.70%,25,"¥1,522,046",101.90%
2025年28週(2025/10/06~2025/10/12),30,"¥705,376",85.50%,30,¥0,0.00%,28,¥0,0.00%,28,¥0,0.00%,23,"¥193,471",101.90%,31,¥0,0.00%,26,"¥301,608",103.10%,33,"¥333,841",89.20%,29,"¥90,924",100.80%,46,"¥306,375",81.10%,30,"¥175,357",92.80%,28,¥0,0.00%,28,"¥434,992",77.10%,23,"¥1,988,831",91.00%
2025年29週(2025/10/13~2025/10/19),27,"¥804,049",82.70%,31,¥0,0.00%,29,¥0,0.00%,29,¥0,0.00%,29,"¥183,271",97.50%,32,¥0,0.00%,29,"¥209,468",77.30%,26,"¥379,191",75.30%,30,"¥70,904",658.10%,42,"¥311,374",83.90%,48,"¥6,576",27.70%,29,¥0,0.00%,43,"¥389,289",64.30%,21,"¥2,334,624",92.20%
2025年30週(2025/10/20~2025/10/26),26,"¥822,318",94.80%,32,¥0,0.00%,30,¥0,0.00%,30,¥0,0.00%,13,"¥215,547",101.40%,33,¥0,0.00%,30,"¥141,369",87.30%,12,"¥467,161",79.10%,32,"¥30,867",58.80%,40,"¥313,994",82.60%,35,"¥11,508",168.60%,30,¥0,0.00%,17,"¥450,469",91.90%,19,"¥2,668,919",105.10%
2025年31週(2025/10/27~2025/11/02),17,"¥922,149",107.50%,33,¥0,0.00%,31,¥0,0.00%,31,¥0,0.00%,17,"¥207,928",113.70%,34,¥0,0.00%,35,"¥101,260",86.00%,15,"¥443,219",89.60%,33,"¥3,186",9.50%,47,"¥305,592",88.10%,38,"¥10,960",114.60%,31,¥0,0.00%,14,"¥459,052",88.00%,17,"¥2,837,120",105.70%
2025年32週(2025/11/03~2025/11/09),11,"¥971,943",110.10%,34,¥0,0.00%,32,¥0,0.00%,32,¥0,0.00%,16,"¥208,667",100.50%,35,¥0,0.00%,36,"¥81,483",74.70%,18,"¥431,246",104.90%,34,¥0,0.00%,44,"¥311,236",89.30%,36,"¥11,508",145.30%,32,¥0,0.00%,34,"¥415,752",73.10%,16,"¥2,921,898",105.50%
2025年33週(2025/11/10~2025/11/16),23,"¥854,887",101.70%,35,¥0,0.00%,33,¥0,0.00%,33,¥0,0.00%,11,"¥219,209",104.00%,36,¥0,0.00%,38,"¥65,734",68.30%,8,"¥506,075",110.30%,35,¥0,0.00%,35,"¥319,505",85.70%,42,"¥9,366",91.30%,33,¥0,0.00%,26,"¥435,468",85.60%,13,"¥3,075,745",111.30%
2025年34週(2025/11/17~2025/11/23),16,"¥924,409",97.30%,36,¥0,0.00%,34,¥0,0.00%,34,¥0,0.00%,4,"¥232,614",100.50%,37,¥0,0.00%,39,"¥52,830",68.10%,19,"¥428,558",84.80%,36,¥0,0.00%,48,"¥303,656",79.80%,51,"¥4,384",59.50%,34,¥0,0.00%,9,"¥492,216",91.00%,11,"¥3,193,325",97.30%
2025年35週(2025/11/24~2025/11/30),19,"¥901,840",111.10%,37,¥0,0.00%,35,¥0,0.00%,35,¥0,0.00%,12,"¥216,693",99.90%,38,¥0,0.00%,41,"¥47,489",44.10%,3,"¥571,509",133.80%,37,¥0,0.00%,41,"¥311,848",83.00%,47,"¥7,124",94.70%,35,¥0,0.00%,39,"¥400,259",68.20%,9,"¥3,268,314",100.80%
2025年36週(2025/12/01~2025/12/07),2,"¥1,140,726",102.60%,38,¥0,0.00%,36,¥0,0.00%,36,¥0,0.00%,5,"¥228,963",97.20%,39,¥0,0.00%,43,"¥46,130",61.30%,22,"¥402,058",87.70%,38,¥0,0.00%,34,"¥321,470",85.30%,50,"¥4,434",48.40%,36,¥0,0.00%,8,"¥505,730",74.80%,3,"¥3,785,444",102.40%
2025年37週(2025/12/08~2025/12/14),20,"¥895,317",102.60%,39,¥0,0.00%,37,¥0,0.00%,37,¥0,0.00%,7,"¥224,767",97.10%,40,¥0,0.00%,42,"¥47,071",71.00%,9,"¥481,890",98.30%,39,¥0,0.00%,45,"¥308,856",82.50%,52,"¥2,740",41.70%,37,¥0,0.00%,32,"¥420,688",62.90%,4,"¥3,559,940",100.40%
