販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,
商品条件：09:チルド,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,091:牛乳,091:牛乳,091:牛乳,092:乳製品,092:乳製品,092:乳製品,093:ﾁﾙﾄﾞ食品飲料,093:ﾁﾙﾄﾞ食品飲料,093:ﾁﾙﾄﾞ食品飲料,095:たまご,095:たまご,095:たまご,096:冷凍食品,096:冷凍食品,096:冷凍食品,097:ｱｲｽ・氷,097:ｱｲｽ・氷,097:ｱｲｽ・氷
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),52,"¥4,654,962 ",93.0%,33,"¥11,863,792 ",99.5%,28,"¥5,754,747 ",102.7%,38,"¥5,876,186 ",97.7%,14,"¥3,352,590 ",94.1%,30,"¥2,069,921 ",89.5%
2025年02週(2025/04/07~2025/04/13),51,"¥4,659,462 ",94.6%,35,"¥11,767,115 ",99.1%,31,"¥5,608,466 ",98.9%,45,"¥5,763,851 ",97.2%,43,"¥3,131,569 ",93.3%,32,"¥2,002,525 ",84.3%
2025年03週(2025/04/14~2025/04/20),47,"¥4,763,288 ",98.0%,26,"¥12,087,004 ",102.9%,24,"¥5,994,812 ",105.7%,39,"¥5,817,353 ",98.6%,18,"¥3,322,290 ",94.7%,28,"¥2,435,331 ",95.0%
2025年04週(2025/04/21~2025/04/27),49,"¥4,734,957 ",95.0%,25,"¥12,111,987 ",95.5%,21,"¥6,138,395 ",105.5%,47,"¥5,757,192 ",97.5%,32,"¥3,212,009 ",93.7%,26,"¥2,722,716 ",86.9%
2025年05週(2025/04/28~2025/05/04),46,"¥4,765,854 ",91.5%,13,"¥12,528,363 ",94.3%,29,"¥5,749,692 ",92.3%,46,"¥5,760,402 ",95.7%,30,"¥3,238,597 ",88.9%,22,"¥2,833,063 ",78.8%
2025年06週(2025/05/05~2025/05/11),43,"¥4,865,849 ",95.3%,20,"¥12,239,431 ",97.3%,30,"¥5,700,923 ",96.9%,27,"¥6,022,559 ",98.6%,5,"¥3,495,622 ",99.2%,27,"¥2,618,020 ",92.3%
2025年07週(2025/05/12~2025/05/18),50,"¥4,733,312 ",97.9%,23,"¥12,196,067 ",101.1%,15,"¥6,295,013 ",110.6%,51,"¥5,714,730 ",97.9%,37,"¥3,165,425 ",95.3%,20,"¥2,930,476 ",108.4%
2025年08週(2025/05/19~2025/05/25),38,"¥4,927,766 ",98.5%,21,"¥12,227,057 ",98.9%,18,"¥6,239,516 ",102.9%,50,"¥5,718,766 ",96.3%,40,"¥3,146,180 ",93.6%,16,"¥3,189,211 ",98.5%
2025年09週(2025/05/26~2025/06/01),48,"¥4,755,634 ",97.8%,16,"¥12,426,515 ",103.1%,17,"¥6,253,632 ",108.6%,31,"¥5,919,472 ",102.6%,31,"¥3,228,391 ",91.9%,19,"¥3,081,727 ",102.3%
2025年10週(2025/06/02~2025/06/08),33,"¥4,961,844 ",100.3%,18,"¥12,331,558 ",101.6%,16,"¥6,292,450 ",106.2%,33,"¥5,907,255 ",100.5%,33,"¥3,209,306 ",98.6%,17,"¥3,168,515 ",95.6%
2025年11週(2025/06/09~2025/06/15),40,"¥4,920,567 ",95.6%,15,"¥12,437,110 ",95.7%,23,"¥6,013,279 ",94.6%,36,"¥5,894,716 ",101.7%,28,"¥3,259,600 ",98.5%,15,"¥3,328,028 ",73.7%
2025年12週(2025/06/16~2025/06/22),20,"¥5,109,606 ",101.0%,12,"¥12,590,945 ",102.7%,1,"¥6,980,563 ",119.2%,52,"¥5,686,734 ",99.4%,27,"¥3,266,813 ",98.4%,10,"¥4,994,691 ",123.2%
2025年13週(2025/06/23~2025/06/29),25,"¥5,055,394 ",100.6%,14,"¥12,470,063 ",98.9%,6,"¥6,643,453 ",109.6%,43,"¥5,777,528 ",100.7%,48,"¥3,060,896 ",95.3%,12,"¥4,399,149 ",116.3%
2025年14週(2025/06/30~2025/07/06),27,"¥5,040,429 ",98.7%,10,"¥12,658,122 ",100.0%,10,"¥6,529,351 ",102.8%,44,"¥5,767,063 ",100.7%,41,"¥3,137,316 ",97.5%,7,"¥5,282,364 ",108.1%
2025年15週(2025/07/07~2025/07/13),19,"¥5,116,474 ",101.0%,5,"¥12,779,413 ",102.6%,9,"¥6,542,122 ",105.8%,49,"¥5,725,196 ",101.3%,26,"¥3,275,065 ",104.8%,4,"¥5,388,969 ",112.1%
2025年16週(2025/07/14~2025/07/20),26,"¥5,044,776 ",97.1%,8,"¥12,726,179 ",100.4%,7,"¥6,632,925 ",103.1%,34,"¥5,905,760 ",103.9%,23,"¥3,279,177 ",97.1%,8,"¥5,097,592 ",92.5%
2025年17週(2025/07/21~2025/07/27),13,"¥5,201,274 ",98.5%,7,"¥12,732,674 ",101.4%,3,"¥6,814,532 ",101.4%,40,"¥5,811,942 ",100.3%,11,"¥3,398,571 ",103.8%,1,"¥5,656,693 ",93.4%
2025年18週(2025/07/28~2025/08/03),18,"¥5,124,321 ",97.3%,9,"¥12,676,345 ",99.2%,4,"¥6,745,357 ",98.8%,42,"¥5,804,213 ",100.3%,16,"¥3,338,008 ",92.3%,2,"¥5,635,972 ",91.7%
2025年19週(2025/08/04~2025/08/10),9,"¥5,277,009 ",98.2%,4,"¥13,214,590 ",98.2%,8,"¥6,624,503 ",99.7%,35,"¥5,895,375 ",98.8%,15,"¥3,351,842 ",91.2%,6,"¥5,283,785 ",84.9%
2025年20週(2025/08/11~2025/08/17),2,"¥5,861,260 ",98.1%,2,"¥14,003,124 ",100.1%,2,"¥6,955,825 ",98.5%,10,"¥6,476,406 ",104.2%,3,"¥3,612,610 ",94.6%,3,"¥5,491,924 ",86.6%
2025年21週(2025/08/18~2025/08/24),4,"¥5,320,975 ",95.5%,6,"¥12,766,817 ",98.0%,13,"¥6,492,606 ",96.0%,28,"¥5,975,070 ",97.3%,6,"¥3,473,191 ",89.0%,5,"¥5,379,046 ",97.9%
2025年22週(2025/08/25~2025/08/31),6,"¥5,305,351 ",100.3%,11,"¥12,603,368 ",101.2%,12,"¥6,494,402 ",104.6%,41,"¥5,811,587 ",98.2%,4,"¥3,516,143 ",80.9%,9,"¥5,049,410 ",106.7%
2025年23週(2025/09/01~2025/09/07),3,"¥5,341,703 ",105.8%,19,"¥12,241,901 ",102.9%,11,"¥6,515,606 ",105.3%,30,"¥5,959,166 ",104.8%,9,"¥3,440,114 ",105.2%,11,"¥4,649,267 ",104.3%
