販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：01:青果⇒012:果物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001201:ｵﾚﾝｼﾞ,001201:ｵﾚﾝｼﾞ,001201:ｵﾚﾝｼﾞ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001203:ﾗｲﾑ･ﾚﾓﾝ,001203:ﾗｲﾑ･ﾚﾓﾝ,001203:ﾗｲﾑ･ﾚﾓﾝ,001204:みかん,001204:みかん,001204:みかん,001205:国産柑橘,001205:国産柑橘,001205:国産柑橘,001206:いちご,001206:いちご,001206:いちご,001207:ﾄﾛﾋﾟｶﾙ,001207:ﾄﾛﾋﾟｶﾙ,001207:ﾄﾛﾋﾟｶﾙ,001208:もも,001208:もも,001208:もも,001209:すいか,001209:すいか,001209:すいか,001210:ﾒﾛﾝ,001210:ﾒﾛﾝ,001210:ﾒﾛﾝ,001211:ぶどう,001211:ぶどう,001211:ぶどう,001212:和梨,001212:和梨,001212:和梨,001213:西洋梨,001213:西洋梨,001213:西洋梨,001214:柿,001214:柿,001214:柿,001215:干し柿,001215:干し柿,001215:干し柿,001216:りんご,001216:りんご,001216:りんご,001217:季節果物,001217:季節果物,001217:季節果物,001218:ｶｯﾄﾌﾙｰﾂ,001218:ｶｯﾄﾌﾙｰﾂ,001218:ｶｯﾄﾌﾙｰﾂ,001219:ｼﾞｭｰｽ,001219:ｼﾞｭｰｽ,001219:ｼﾞｭｰｽ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001221:混合品,001221:混合品,001221:混合品,001222:果物,001222:果物,001222:果物,001250:果物資材,001250:果物資材,001250:果物資材,001299:代表ｺｰﾄﾞ,001299:代表ｺｰﾄﾞ,001299:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),6,"¥624,985",158.10%,46,"¥1,219",0.60%,29,"¥310,691",108.20%,43,"¥786,742",99.10%,1,"¥6,079,773",96.40%,7,"¥12,490,315",104.40%,23,"¥7,089,276",97.20%,36,¥0,0.00%,29,"¥80,991",49.20%,31,"¥311,561",84.70%,48,"¥473,151",70.70%,32,¥0,0.00%,25,¥599,0.00%,34,"¥34,791",92.40%,26,"¥105,612",51.00%,21,"¥3,914,822",102.70%,33,"¥107,652",119.60%,28,"¥2,302,922",112.00%,1,"¥37,544",38.40%,2,"¥1,286,727",142.80%,2,¥0,0.00%,22,"¥37,787",83.90%,45,"¥13,470",66.90%,12,"¥52,372",121.10%
2025年02週(2025/04/07~2025/04/13),1,"¥745,464",212.30%,50,¥0,0.00%,28,"¥316,268",104.90%,47,"¥398,995",208.00%,3,"¥5,808,962",96.20%,12,"¥11,396,166",103.80%,19,"¥7,948,108",104.50%,31,"¥11,280",21.10%,26,"¥102,511",76.50%,33,"¥293,085",67.20%,47,"¥517,303",70.20%,33,¥0,0.00%,27,¥0,0.00%,31,"¥39,379",92.20%,24,"¥137,657",94.50%,25,"¥3,549,241",97.40%,36,"¥90,916",69.30%,25,"¥2,585,129",98.30%,2,"¥34,378",37.90%,5,"¥1,202,962",133.10%,3,¥0,0.00%,19,"¥43,959",118.90%,35,"¥17,050",75.40%,45,"¥1,453",9.60%
2025年03週(2025/04/14~2025/04/20),4,"¥701,613",185.30%,49,¥259,0.40%,26,"¥319,694",93.80%,49,"¥25,269",0.00%,6,"¥5,571,559",106.40%,14,"¥10,934,527",109.20%,15,"¥8,743,096",99.40%,27,"¥118,320",108.30%,28,"¥83,276",80.90%,28,"¥354,724",82.10%,45,"¥681,143",84.60%,34,¥0,0.00%,28,¥0,0.00%,38,"¥17,874",48.00%,25,"¥117,125",115.20%,26,"¥3,545,763",113.80%,34,"¥97,378",65.40%,24,"¥2,938,339",94.20%,3,"¥34,212",46.40%,4,"¥1,235,458",136.90%,4,¥0,0.00%,21,"¥42,354",105.80%,34,"¥18,140",95.50%,31,"¥9,847",15.90%
2025年04週(2025/04/21~2025/04/27),10,"¥581,155",184.90%,48,¥518,1.10%,24,"¥339,498",94.50%,50,"¥5,321",0.00%,5,"¥5,575,021",114.30%,17,"¥9,238,757",100.40%,13,"¥9,327,177",93.60%,26,"¥176,888",100.90%,24,"¥108,886",98.60%,18,"¥588,331",60.10%,44,"¥709,035",76.70%,35,¥0,0.00%,29,¥0,0.00%,30,"¥39,842",115.50%,32,"¥66,160",51.70%,27,"¥3,446,352",112.20%,32,"¥152,536",47.60%,21,"¥3,634,307",102.90%,13,"¥21,356",23.70%,12,"¥1,149,711",131.30%,5,¥0,0.00%,20,"¥43,430",98.70%,41,"¥14,610",69.00%,41,"¥5,869",5.70%
2025年05週(2025/04/28~2025/05/04),12,"¥568,007",122.30%,51,¥0,0.00%,12,"¥399,596",99.00%,51,¥100,0.00%,8,"¥5,330,552",112.20%,19,"¥8,216,005",93.10%,10,"¥9,921,125",94.40%,23,"¥288,272",101.90%,22,"¥148,520",81.90%,16,"¥907,909",73.60%,43,"¥771,484",125.50%,36,¥0,0.00%,30,¥0,0.00%,35,"¥34,594",83.90%,30,"¥76,014",77.30%,28,"¥3,397,382",109.70%,31,"¥269,748",52.00%,20,"¥4,229,689",89.40%,19,"¥18,880",15.40%,21,"¥1,098,620",133.50%,6,¥0,0.00%,11,"¥51,644",136.70%,42,"¥13,990",60.40%,36,"¥6,723",29.90%
2025年06週(2025/05/05~2025/05/11),13,"¥566,938",129.50%,52,¥0,0.00%,18,"¥376,804",110.60%,52,¥100,0.00%,10,"¥5,086,302",113.10%,20,"¥6,567,141",108.90%,6,"¥10,986,187",98.30%,21,"¥474,001",82.90%,19,"¥163,178",108.80%,15,"¥910,890",76.50%,39,"¥945,591",265.10%,37,¥0,0.00%,31,¥0,0.00%,33,"¥34,994",185.80%,27,"¥99,789",120.90%,29,"¥3,261,173",114.90%,26,"¥468,374",80.20%,18,"¥4,561,582",93.60%,26,"¥14,596",22.70%,3,"¥1,280,963",141.80%,7,¥0,0.00%,7,"¥54,001",119.00%,29,"¥22,120",77.40%,11,"¥59,631",90.90%
2025年07週(2025/05/12~2025/05/18),18,"¥510,440",113.10%,47,¥777,6.00%,15,"¥388,081",123.90%,48,"¥133,056",29.90%,15,"¥4,259,648",105.50%,23,"¥5,208,563",107.20%,2,"¥11,614,696",109.70%,19,"¥1,094,582",84.60%,25,"¥108,684",77.00%,14,"¥955,006",86.40%,42,"¥910,866",283.20%,38,¥0,0.00%,32,¥0,0.00%,37,"¥32,823",472.80%,29,"¥78,663",100.20%,31,"¥3,085,557",116.70%,28,"¥414,422",72.30%,17,"¥5,009,699",101.90%,7,"¥25,980",30.60%,10,"¥1,156,237",131.70%,8,¥0,0.00%,2,"¥58,798",161.20%,36,"¥17,050",80.40%,18,"¥30,258",182.40%
2025年08週(2025/05/19~2025/05/25),15,"¥548,342",113.10%,45,"¥11,223",265.80%,17,"¥377,905",104.30%,46,"¥431,820",72.80%,17,"¥3,764,925",98.00%,24,"¥4,793,757",141.00%,7,"¥10,743,673",91.60%,17,"¥1,335,508",80.30%,18,"¥163,362",116.90%,13,"¥1,013,470",75.50%,40,"¥934,057",182.40%,39,¥0,0.00%,26,¥599,0.00%,39,"¥17,735",467.00%,36,"¥52,797",51.70%,35,"¥2,800,232",106.00%,24,"¥528,385",80.80%,16,"¥5,647,502",95.70%,17,"¥19,320",35.10%,8,"¥1,183,436",149.70%,9,¥0,0.00%,6,"¥54,849",98.00%,38,"¥15,990",57.20%,37,"¥6,440",8.60%
2025年09週(2025/05/26~2025/06/01),16,"¥532,114",101.40%,34,"¥83,321",20882.50%,23,"¥342,441",99.90%,45,"¥592,233",84.60%,18,"¥3,565,101",112.80%,26,"¥3,363,605",140.20%,5,"¥11,022,612",104.30%,18,"¥1,211,904",62.10%,17,"¥166,843",90.90%,12,"¥1,096,383",75.30%,38,"¥1,012,492",111.60%,40,¥0,0.00%,33,¥0,0.00%,40,"¥7,455",301.50%,33,"¥62,087",77.90%,33,"¥2,915,879",123.50%,21,"¥654,017",101.60%,15,"¥5,868,031",99.60%,22,"¥15,720",29.00%,11,"¥1,153,711",149.50%,10,¥0,0.00%,1,"¥59,373",82.30%,46,"¥12,660",67.50%,30,"¥11,085",48.20%
