販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒031:牛肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003101:すき焼,003101:すき焼,003101:すき焼,003102:しゃぶしゃぶ,003102:しゃぶしゃぶ,003102:しゃぶしゃぶ,003103:切り落し,003103:切り落し,003103:切り落し,003104:焼肉,003104:焼肉,003104:焼肉,003105:ｽﾃｰｷ,003105:ｽﾃｰｷ,003105:ｽﾃｰｷ,003106:煮込み,003106:煮込み,003106:煮込み,003107:ﾌﾞﾛｯｸ,003107:ﾌﾞﾛｯｸ,003107:ﾌﾞﾛｯｸ,003150:牛肉資材,003150:牛肉資材,003150:牛肉資材,003199:代表ｺｰﾄﾞ,003199:代表ｺｰﾄﾞ,003199:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),17,"¥2,606,684",97.40%,50,"¥3,184,011",102.20%,51,"¥5,960,345",92.80%,7,"¥4,945,121",114.00%,19,"¥5,098,095",98.10%,20,"¥1,993,008",90.20%,17,"¥98,798",81.00%,21,"¥7,875",126.50%,47,"¥-1,173",21.30%
2025年02週(2025/04/07~2025/04/13),21,"¥2,502,404",108.00%,45,"¥3,285,840",88.00%,39,"¥6,476,775",94.00%,33,"¥4,140,172",95.50%,29,"¥4,719,220",101.20%,32,"¥1,695,589",87.60%,30,"¥69,716",99.40%,43,"¥5,521",71.40%,29,¥0,0.00%
2025年03週(2025/04/14~2025/04/20),26,"¥2,347,614",104.20%,33,"¥3,418,410",104.50%,8,"¥7,282,042",104.40%,9,"¥4,882,142",102.80%,44,"¥4,079,318",91.60%,45,"¥1,459,847",101.60%,39,"¥58,205",38.40%,20,"¥8,026",101.40%,13,"¥8,000",-2476.80%
2025年04週(2025/04/21~2025/04/27),10,"¥2,865,971",106.50%,29,"¥3,531,461",106.60%,49,"¥6,067,489",85.30%,12,"¥4,770,405",87.80%,13,"¥5,482,017",110.20%,38,"¥1,627,037",80.80%,20,"¥87,495",69.70%,27,"¥7,213",85.00%,24,¥734,2.80%
2025年05週(2025/04/28~2025/05/04),5,"¥3,324,071",114.80%,22,"¥3,662,427",91.50%,40,"¥6,408,769",92.80%,3,"¥6,595,083",92.80%,4,"¥6,338,840",85.80%,39,"¥1,602,817",78.20%,4,"¥163,078",54.80%,25,"¥7,529",72.40%,11,"¥17,638",5025.10%
2025年06週(2025/05/05~2025/05/11),24,"¥2,440,916",87.20%,15,"¥3,846,000",96.20%,18,"¥7,010,520",93.40%,5,"¥5,535,173",109.40%,9,"¥5,884,502",105.80%,40,"¥1,562,426",94.10%,12,"¥105,085",120.40%,10,"¥9,713",101.60%,22,¥890,0.00%
2025年07週(2025/05/12~2025/05/18),33,"¥2,165,990",96.20%,47,"¥3,242,450",100.70%,41,"¥6,343,153",88.60%,25,"¥4,275,440",93.30%,12,"¥5,488,633",124.20%,29,"¥1,767,201",113.10%,41,"¥53,125",78.30%,42,"¥5,805",57.90%,14,"¥7,050",0.00%
2025年08週(2025/05/19~2025/05/25),42,"¥1,966,817",88.90%,19,"¥3,723,980",122.50%,23,"¥6,920,992",103.10%,30,"¥4,201,532",92.30%,28,"¥4,727,353",100.90%,47,"¥1,412,091",74.10%,15,"¥100,245",123.60%,34,"¥6,276",68.00%,30,¥0,0.00%
2025年09週(2025/05/26~2025/06/01),28,"¥2,314,228",110.80%,16,"¥3,776,012",114.30%,32,"¥6,698,630",96.70%,29,"¥4,207,877",108.20%,21,"¥4,908,865",100.10%,19,"¥2,009,632",150.10%,48,"¥43,120",25.40%,22,"¥7,842",121.60%,49,"¥-1,250",-3.50%
