販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒032:豚肉,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,003201:しゃぶしゃぶ,003201:しゃぶしゃぶ,003201:しゃぶしゃぶ,003202:ｽﾃｰｷ,003202:ｽﾃｰｷ,003202:ｽﾃｰｷ,003203:ｽﾗｲｽ,003203:ｽﾗｲｽ,003203:ｽﾗｲｽ,003204:しょうが焼用,003204:しょうが焼用,003204:しょうが焼用,003205:焼肉,003205:焼肉,003205:焼肉,003206:切り落し,003206:切り落し,003206:切り落し,003207:ﾌﾞﾛｯｸ,003207:ﾌﾞﾛｯｸ,003207:ﾌﾞﾛｯｸ,003208:豚肉原料,003208:豚肉原料,003208:豚肉原料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),29,"¥4,528,613",102.20%,11,"¥1,000,485",81.10%,16,"¥1,501,789",113.90%,12,"¥1,037,246",106.10%,37,"¥453,865",91.10%,49,"¥1,120,749",82.00%,23,"¥1,444,628",80.00%,42,"¥11,660",15.30%
2025年02週(2025/04/07~2025/04/13),49,"¥4,118,437",102.50%,2,"¥1,169,649",98.50%,1,"¥1,866,088",114.10%,47,"¥614,271",75.50%,51,"¥383,113",96.00%,27,"¥1,575,474",89.10%,9,"¥1,602,553",115.90%,51,"¥2,773",18.90%
2025年03週(2025/04/14~2025/04/20),48,"¥4,227,201",104.70%,22,"¥781,528",94.10%,17,"¥1,500,268",89.90%,10,"¥1,084,174",184.70%,10,"¥628,521",125.10%,39,"¥1,249,258",93.60%,7,"¥1,627,600",121.30%,14,"¥55,624",85.40%
2025年04週(2025/04/21~2025/04/27),41,"¥4,368,177",106.70%,30,"¥722,224",72.60%,5,"¥1,701,929",102.90%,44,"¥643,452",101.10%,13,"¥586,117",120.00%,28,"¥1,560,051",98.70%,6,"¥1,648,627",106.40%,33,"¥23,020",154.20%
2025年05週(2025/04/28~2025/05/04),52,"¥3,984,784",103.50%,26,"¥747,497",84.10%,39,"¥1,350,807",92.80%,14,"¥1,031,281",108.20%,3,"¥739,438",111.30%,29,"¥1,554,281",140.70%,11,"¥1,555,614",99.10%,18,"¥51,857",112.50%
2025年06週(2025/05/05~2025/05/11),28,"¥4,609,400",105.70%,20,"¥837,884",65.80%,22,"¥1,472,865",102.60%,2,"¥1,140,829",102.90%,34,"¥458,556",89.00%,48,"¥1,122,560",92.80%,25,"¥1,438,195",110.60%,37,"¥16,795",25.30%
2025年07週(2025/05/12~2025/05/18),40,"¥4,368,470",115.10%,28,"¥729,325",87.80%,28,"¥1,437,499",80.70%,33,"¥771,654",121.70%,20,"¥533,312",89.10%,24,"¥1,589,290",100.90%,36,"¥1,370,392",101.90%,10,"¥59,803",95.50%
2025年08週(2025/05/19~2025/05/25),45,"¥4,275,191",101.90%,1,"¥1,277,776",134.80%,11,"¥1,579,298",128.50%,30,"¥780,210",70.00%,12,"¥615,098",143.90%,46,"¥1,156,785",104.00%,47,"¥1,277,029",66.30%,16,"¥53,729",370.10%
2025年09週(2025/05/26~2025/06/01),43,"¥4,337,979",109.30%,3,"¥1,167,878",85.90%,44,"¥1,325,707",88.60%,6,"¥1,126,543",178.00%,45,"¥422,178",85.20%,18,"¥1,695,665",98.80%,5,"¥1,696,737",134.70%,28,"¥32,414",47.70%
