販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒033:鶏肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003301:ﾓﾓ,003301:ﾓﾓ,003301:ﾓﾓ,003302:ﾑﾈ,003302:ﾑﾈ,003302:ﾑﾈ,003303:ｻｻﾐ,003303:ｻｻﾐ,003303:ｻｻﾐ,003304:骨物,003304:骨物,003304:骨物,003305:内臓物,003305:内臓物,003305:内臓物,003306:合わせ,003306:合わせ,003306:合わせ,003307:丸物,003307:丸物,003307:丸物,003308:鴨肉,003308:鴨肉,003308:鴨肉,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),27,"¥4,653,932 ",95.0%,8,"¥742,199 ",107.7%,50,"¥541,610 ",87.2%,38,"¥756,579 ",82.5%,25,"¥223,493 ",95.0%,42,"¥26,530 ",30.2%,11,"¥6,865 ",0.0%,23,"¥256,387 ",108.0%,4,¥719 ,8.2%
2025年02週(2025/04/07~2025/04/13),32,"¥4,560,685 ",96.9%,1,"¥814,743 ",118.7%,49,"¥543,835 ",70.4%,44,"¥746,421 ",92.1%,49,"¥200,745 ",89.7%,45,"¥26,009 ",28.0%,15,"¥4,507 ",0.0%,27,"¥218,196 ",119.8%,15,¥0 ,0.0%
2025年03週(2025/04/14~2025/04/20),30,"¥4,602,836 ",91.6%,3,"¥801,583 ",117.3%,35,"¥648,991 ",83.1%,35,"¥779,324 ",105.3%,2,"¥241,373 ",108.0%,30,"¥36,503 ",44.4%,9,"¥9,055 ",0.0%,28,"¥215,164 ",110.6%,14,¥22 ,0.2%
2025年04週(2025/04/21~2025/04/27),34,"¥4,492,639 ",100.5%,2,"¥803,438 ",130.4%,41,"¥607,813 ",87.8%,46,"¥734,822 ",82.9%,31,"¥221,520 ",101.2%,27,"¥43,145 ",45.5%,8,"¥9,106 ",0.0%,32,"¥201,105 ",107.5%,5,¥650 ,134.0%
2025年05週(2025/04/28~2025/05/04),37,"¥4,423,557 ",92.6%,24,"¥674,740 ",111.0%,52,"¥513,387 ",80.5%,52,"¥678,581 ",83.5%,23,"¥225,825 ",103.7%,25,"¥47,279 ",53.6%,10,"¥8,492 ",0.0%,22,"¥274,384 ",122.3%,42,(¥100),-1.3%
2025年06週(2025/05/05~2025/05/11),24,"¥4,803,353 ",99.9%,4,"¥773,202 ",111.3%,47,"¥567,283 ",73.2%,43,"¥751,948 ",84.6%,20,"¥228,060 ",102.3%,36,"¥31,676 ",30.5%,14,"¥5,367 ",0.0%,29,"¥214,914 ",113.7%,16,¥0 ,0.0%
2025年07週(2025/05/12~2025/05/18),43,"¥4,288,258 ",93.6%,9,"¥740,631 ",104.7%,51,"¥525,041 ",73.8%,50,"¥705,990 ",86.3%,19,"¥228,836 ",108.1%,35,"¥32,916 ",34.4%,23,"¥2,959 ",0.0%,34,"¥195,088 ",116.3%,39,(¥52),-0.4%
2025年08週(2025/05/19~2025/05/25),35,"¥4,450,103 ",97.0%,7,"¥750,495 ",109.5%,48,"¥564,922 ",84.4%,51,"¥697,387 ",90.3%,13,"¥231,161 ",108.5%,38,"¥30,885 ",30.7%,27,¥0 ,0.0%,37,"¥175,730 ",115.0%,44,(¥389),-1254.8%
2025年09週(2025/05/26~2025/06/01),39,"¥4,411,329 ",101.8%,12,"¥723,535 ",107.6%,18,"¥688,848 ",87.7%,48,"¥729,241 ",82.4%,15,"¥230,504 ",107.6%,34,"¥33,521 ",29.1%,28,¥0 ,0.0%,33,"¥199,368 ",112.5%,50,(¥788),-28.3%
