販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒034:畜産加工品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003401:ﾊﾑ,003401:ﾊﾑ,003401:ﾊﾑ,003402:ｿｰｾｰｼﾞ,003402:ｿｰｾｰｼﾞ,003402:ｿｰｾｰｼﾞ,003403:ﾍﾞｰｺﾝ,003403:ﾍﾞｰｺﾝ,003403:ﾍﾞｰｺﾝ,003404:生ﾊﾑ,003404:生ﾊﾑ,003404:生ﾊﾑ,003405:ｻﾗﾐ,003405:ｻﾗﾐ,003405:ｻﾗﾐ,003406:惣菜,003406:惣菜,003406:惣菜,003407:ｻﾗﾀﾞ,003407:ｻﾗﾀﾞ,003407:ｻﾗﾀﾞ,003408:調味料,003408:調味料,003408:調味料,003409:餃子皮,003409:餃子皮,003409:餃子皮,003410:ﾜﾝﾀﾝ,003410:ﾜﾝﾀﾝ,003410:ﾜﾝﾀﾝ,003411:春巻き皮,003411:春巻き皮,003411:春巻き皮,003412:ﾊﾟﾝ粉,003412:ﾊﾟﾝ粉,003412:ﾊﾟﾝ粉,003499:代表ｺｰﾄﾞ,003499:代表ｺｰﾄﾞ,003499:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),40,"¥1,929,776",96.60%,21,"¥2,619,027",98.10%,21,"¥1,249,407",106.90%,51,"¥521,443",78.40%,50,"¥94,858",110.90%,23,"¥634,279",80.70%,34,"¥245,545",93.40%,32,"¥295,799",99.70%,10,"¥124,028",89.70%,29,"¥21,371",112.10%,11,"¥97,239",87.60%,2,"¥20,120",104.40%,1,"¥3,300",-12222.20%
2025年02週(2025/04/07~2025/04/13),8,"¥2,359,800",109.30%,12,"¥2,686,954",102.80%,29,"¥1,220,914",84.60%,42,"¥600,762",91.90%,46,"¥118,417",149.30%,24,"¥632,455",79.00%,27,"¥263,784",92.00%,41,"¥289,835",90.80%,23,"¥114,390",86.50%,20,"¥22,903",97.60%,8,"¥101,940",91.00%,3,"¥20,048",95.00%,49,"¥-1,018",75.70%
2025年03週(2025/04/14~2025/04/20),33,"¥2,074,910",99.30%,17,"¥2,643,032",99.50%,4,"¥1,353,377",106.90%,36,"¥636,311",112.00%,26,"¥145,274",125.70%,21,"¥646,248",94.80%,25,"¥272,575",90.20%,29,"¥298,971",96.90%,16,"¥118,986",94.00%,7,"¥25,783",134.50%,3,"¥121,541",98.90%,6,"¥18,848",95.30%,19,¥171,5.50%
2025年04週(2025/04/21~2025/04/27),16,"¥2,278,184",97.20%,3,"¥2,851,062",102.00%,8,"¥1,328,563",104.50%,26,"¥718,380",100.60%,29,"¥142,667",104.10%,25,"¥631,464",90.80%,11,"¥300,522",113.20%,46,"¥285,463",93.30%,14,"¥121,481",87.40%,8,"¥24,286",102.50%,4,"¥121,059",98.60%,14,"¥17,950",86.10%,10,¥782,-562.60%
2025年05週(2025/04/28~2025/05/04),24,"¥2,180,518",99.30%,26,"¥2,555,979",90.80%,23,"¥1,242,256",84.70%,15,"¥784,948",82.20%,40,"¥127,581",102.10%,35,"¥558,311",85.90%,26,"¥270,561",92.30%,19,"¥351,864",98.10%,4,"¥138,218",85.20%,38,"¥19,839",81.80%,1,"¥134,185",104.00%,4,"¥19,568",100.10%,7,"¥1,117",-193.30%
2025年06週(2025/05/05~2025/05/11),12,"¥2,297,009",108.40%,10,"¥2,692,042",99.10%,1,"¥1,456,935",100.70%,20,"¥777,849",103.00%,49,"¥101,163",114.90%,28,"¥617,614",100.80%,17,"¥290,155",102.90%,27,"¥307,043",98.40%,3,"¥139,023",108.40%,5,"¥26,444",112.80%,5,"¥117,503",118.20%,7,"¥18,600",98.10%,21,¥0,0.00%
2025年07週(2025/05/12~2025/05/18),35,"¥2,058,067",96.10%,41,"¥2,360,185",91.00%,30,"¥1,216,779",101.50%,33,"¥682,977",106.30%,52,"¥77,340",63.00%,40,"¥544,202",71.70%,22,"¥279,689",86.60%,45,"¥286,589",102.50%,28,"¥112,334",86.90%,31,"¥21,217",99.30%,16,"¥94,378",85.70%,12,"¥18,000",89.50%,22,¥0,0.00%
2025年08週(2025/05/19~2025/05/25),9,"¥2,339,471",103.30%,29,"¥2,534,480",99.80%,24,"¥1,233,663",89.80%,31,"¥690,499",98.00%,28,"¥143,758",133.00%,36,"¥556,301",79.00%,16,"¥290,257",91.80%,28,"¥304,157",107.70%,15,"¥119,247",85.40%,15,"¥23,382",112.30%,15,"¥94,626",119.40%,19,"¥17,336",76.00%,50,"¥-1,502",-50.10%
2025年09週(2025/05/26~2025/06/01),21,"¥2,201,084",113.60%,39,"¥2,385,478",104.10%,12,"¥1,290,170",104.10%,21,"¥766,463",110.20%,25,"¥145,319",137.40%,44,"¥516,783",75.40%,21,"¥286,303",86.40%,30,"¥296,930",100.30%,39,"¥106,613",74.40%,22,"¥22,749",112.30%,20,"¥92,379",98.80%,1,"¥20,488",109.70%,51,"¥-1,675",481.30%
