販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒036:畜産デリカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003601:ﾛｰｽﾄﾋﾞｰﾌ,003601:ﾛｰｽﾄﾋﾞｰﾌ,003601:ﾛｰｽﾄﾋﾞｰﾌ,003602:牛肉たれ漬け,003602:牛肉たれ漬け,003602:牛肉たれ漬け,003603:牛パン粉製品,003603:牛パン粉製品,003603:牛パン粉製品,003604:牛焼・揚物,003604:牛焼・揚物,003604:牛焼・揚物,003605:ﾊﾝﾊﾞｰｸﾞ,003605:ﾊﾝﾊﾞｰｸﾞ,003605:ﾊﾝﾊﾞｰｸﾞ,003606:焼豚,003606:焼豚,003606:焼豚,003607:豚肉たれ漬け,003607:豚肉たれ漬け,003607:豚肉たれ漬け,003608:豚パン粉製品,003608:豚パン粉製品,003608:豚パン粉製品,003609:豚焼・揚物,003609:豚焼・揚物,003609:豚焼・揚物,003610:鶏肉たれ漬け,003610:鶏肉たれ漬け,003610:鶏肉たれ漬け,003611:鶏パン粉製品,003611:鶏パン粉製品,003611:鶏パン粉製品,003612:鶏焼・揚物,003612:鶏焼・揚物,003612:鶏焼・揚物
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),16,"¥3,538,621",94.40%,35,"¥411,486",89.70%,19,"¥10,239",53.30%,14,"¥12,382",96.90%,40,"¥2,352,948",105.50%,24,"¥937,090",98.50%,6,"¥29,859",64.90%,44,"¥7,380",74.90%,22,"¥136,623",104.10%,6,¥0,0.00%,31,"¥76,677",89.30%,51,"¥663,982",95.10%
2025年02週(2025/04/07~2025/04/13),34,"¥3,352,285",105.50%,37,"¥405,627",76.60%,2,"¥21,120",68.00%,23,"¥10,840",80.30%,13,"¥2,710,185",126.10%,34,"¥907,543",100.90%,32,"¥18,868",41.60%,39,"¥8,592",74.50%,32,"¥130,515",99.60%,7,¥0,0.00%,42,"¥69,072",78.50%,40,"¥726,105",104.40%
2025年03週(2025/04/14~2025/04/20),28,"¥3,396,877",103.80%,21,"¥506,324",100.80%,5,"¥18,961",70.00%,6,"¥14,930",141.00%,39,"¥2,381,713",97.60%,23,"¥949,295",106.30%,39,"¥16,047",45.90%,6,"¥14,405",126.60%,33,"¥130,267",93.70%,5,¥386,118.40%,22,"¥80,104",98.90%,47,"¥702,152",104.10%
2025年04週(2025/04/21~2025/04/27),19,"¥3,515,864",102.90%,30,"¥485,917",102.60%,11,"¥16,075",85.40%,20,"¥11,242",111.50%,20,"¥2,652,560",121.40%,26,"¥933,669",102.40%,33,"¥18,713",50.80%,37,"¥8,623",66.00%,26,"¥133,335",97.00%,3,¥533,43.00%,11,"¥87,728",120.30%,43,"¥715,758",108.40%
2025年05週(2025/04/28~2025/05/04),9,"¥3,764,947",87.40%,27,"¥496,270",90.80%,8,"¥17,217",74.50%,8,"¥13,732",123.40%,48,"¥2,258,710",97.50%,25,"¥936,700",99.00%,19,"¥24,395",72.70%,14,"¥12,732",91.00%,44,"¥121,943",84.80%,8,¥0,0.00%,47,"¥63,760",91.00%,36,"¥756,652",113.90%
2025年06週(2025/05/05~2025/05/11),4,"¥3,950,049",101.70%,29,"¥488,598",87.80%,3,"¥20,822",77.80%,51,"¥8,510",80.10%,37,"¥2,458,606",109.60%,17,"¥975,404",107.70%,10,"¥27,645",63.70%,26,"¥10,846",109.30%,46,"¥117,589",93.20%,1,¥801,0.00%,35,"¥75,474",93.90%,46,"¥710,320",101.20%
2025年07週(2025/05/12~2025/05/18),14,"¥3,564,373",102.60%,11,"¥556,688",97.00%,9,"¥16,677",61.20%,15,"¥12,330",65.70%,17,"¥2,686,723",110.70%,19,"¥970,997",107.60%,17,"¥24,926",64.10%,17,"¥12,283",73.40%,19,"¥138,521",108.30%,2,¥637,93.00%,29,"¥77,501",98.90%,42,"¥717,845",103.50%
2025年08週(2025/05/19~2025/05/25),22,"¥3,466,034",100.40%,15,"¥542,130",94.20%,6,"¥18,702",85.00%,10,"¥13,300",91.20%,4,"¥2,783,502",125.80%,5,"¥1,036,665",107.40%,22,"¥23,674",64.60%,32,"¥10,179",123.90%,1,"¥167,470",125.00%,9,¥0,0.00%,27,"¥77,664",101.40%,31,"¥764,681",111.60%
2025年09週(2025/05/26~2025/06/01),33,"¥3,355,980",102.10%,28,"¥495,281",95.60%,7,"¥18,241",83.10%,33,"¥10,380",108.10%,15,"¥2,705,528",114.20%,2,"¥1,113,358",124.80%,11,"¥27,549",52.10%,19,"¥12,014",157.30%,3,"¥156,492",114.50%,10,¥0,0.00%,41,"¥70,142",102.40%,28,"¥774,288",115.00%
2025年10週(2025/06/02~2025/06/08),29,"¥3,392,632",99.50%,22,"¥504,229",96.80%,1,"¥22,071",108.00%,17,"¥12,020",73.50%,34,"¥2,510,201",112.90%,16,"¥984,899",105.00%,31,"¥19,470",49.80%,40,"¥8,517",57.00%,10,"¥147,307",124.40%,11,¥0,0.00%,12,"¥87,366",111.50%,23,"¥792,420",113.80%
2025年11週(2025/06/09~2025/06/15),5,"¥3,864,698",90.00%,19,"¥515,077",90.80%,16,"¥11,465",47.80%,7,"¥13,970",100.70%,11,"¥2,716,112",112.50%,11,"¥997,539",103.40%,41,"¥15,496",36.60%,36,"¥9,164",78.10%,20,"¥138,360",99.80%,4,¥405,242.50%,3,"¥98,585",179.70%,39,"¥728,730",104.60%
2025年12週(2025/06/16~2025/06/22),25,"¥3,446,923",99.70%,16,"¥541,037",97.40%,4,"¥20,042",83.50%,48,"¥9,200",76.20%,41,"¥2,331,722",106.90%,7,"¥1,008,491",109.40%,43,"¥15,450",31.20%,16,"¥12,568",102.80%,9,"¥147,619",120.20%,12,¥0,0.00%,1,"¥100,307",137.90%,15,"¥807,632",118.90%
2025年13週(2025/06/23~2025/06/29),10,"¥3,687,048",109.10%,26,"¥499,279",91.70%,12,"¥15,679",77.30%,4,"¥18,173",148.20%,28,"¥2,584,925",109.20%,9,"¥1,006,388",104.00%,44,"¥15,337",34.10%,50,"¥4,963",54.60%,2,"¥157,552",119.20%,13,¥0,0.00%,17,"¥83,314",115.40%,8,"¥829,719",115.40%
2025年14週(2025/06/30~2025/07/06),11,"¥3,645,960",102.60%,6,"¥605,102",110.60%,10,"¥16,466",76.40%,29,"¥10,592",99.70%,45,"¥2,272,049",107.40%,22,"¥961,568",100.30%,2,"¥33,742",78.30%,34,"¥9,875",80.40%,6,"¥151,095",101.10%,14,¥0,0.00%,2,"¥99,461",148.30%,3,"¥854,522",124.40%
2025年15週(2025/07/07~2025/07/13),20,"¥3,490,125",97.00%,7,"¥582,004",106.90%,13,"¥13,329",46.40%,27,"¥10,694",90.30%,27,"¥2,591,568",115.40%,18,"¥972,396",101.50%,37,"¥16,635",39.70%,11,"¥13,504",109.10%,15,"¥140,437",112.20%,15,¥0,0.00%,37,"¥74,875",107.40%,25,"¥785,576",113.00%
2025年16週(2025/07/14~2025/07/20),12,"¥3,604,684",102.20%,9,"¥564,099",102.40%,21,"¥9,315",44.90%,16,"¥12,270",106.50%,49,"¥2,220,843",105.90%,14,"¥990,624",103.40%,21,"¥23,704",53.40%,12,"¥13,349",222.20%,4,"¥152,674",106.20%,16,¥0,0.00%,33,"¥76,351",107.70%,32,"¥762,757",109.20%
2025年17週(2025/07/21~2025/07/27),15,"¥3,563,033",96.50%,12,"¥553,219",98.60%,14,"¥11,917",79.40%,12,"¥12,810",98.20%,35,"¥2,500,107",107.60%,6,"¥1,031,436",105.50%,25,"¥22,679",49.40%,22,"¥11,971",121.30%,28,"¥133,063",101.70%,17,¥0,0.00%,44,"¥68,631",95.00%,20,"¥798,592",122.00%
2025年18週(2025/07/28~2025/08/03),21,"¥3,485,273",94.30%,5,"¥636,574",101.70%,15,"¥11,844",48.30%,19,"¥11,282",107.60%,50,"¥2,162,525",104.60%,13,"¥996,088",98.10%,14,"¥25,211",52.50%,3,"¥15,524",117.20%,11,"¥146,359",119.70%,18,¥0,0.00%,6,"¥88,401",126.80%,22,"¥793,391",115.40%
2025年19週(2025/08/04~2025/08/10),6,"¥3,849,157",93.40%,8,"¥569,220",103.40%,22,"¥8,812",42.40%,5,"¥15,200",112.40%,38,"¥2,447,729",105.30%,10,"¥1,000,010",97.70%,5,"¥30,850",76.20%,20,"¥11,983",111.50%,7,"¥150,545",107.90%,19,¥0,0.00%,49,"¥62,486",117.10%,16,"¥804,874",113.10%
2025年20週(2025/08/11~2025/08/17),3,"¥4,743,084",93.80%,17,"¥532,953",90.80%,17,"¥11,398",58.30%,9,"¥13,560",86.60%,51,"¥2,147,256",103.90%,3,"¥1,054,979",99.00%,15,"¥25,178",72.50%,35,"¥9,514",70.70%,24,"¥133,854",99.70%,20,¥0,0.00%,48,"¥63,090",143.90%,5,"¥842,529",121.70%
2025年21週(2025/08/18~2025/08/24),13,"¥3,587,361",92.10%,18,"¥515,982",88.00%,18,"¥11,398",56.20%,37,"¥10,170",93.00%,47,"¥2,266,440",104.00%,21,"¥965,986",91.90%,26,"¥22,542",30.50%,30,"¥10,372",98.00%,31,"¥131,731",112.60%,21,¥0,0.00%,40,"¥71,988",100.30%,13,"¥810,545",120.60%
2025年22週(2025/08/25~2025/08/31),26,"¥3,433,649",100.50%,10,"¥562,425",95.00%,26,"¥8,125",31.10%,34,"¥10,320",114.70%,25,"¥2,593,226",107.70%,12,"¥996,114",94.80%,46,"¥15,030",16.10%,15,"¥12,717",181.60%,16,"¥139,849",100.80%,22,¥0,0.00%,25,"¥79,566",123.20%,27,"¥774,451",132.20%
2025年23週(2025/09/01~2025/09/07),17,"¥3,532,540",103.60%,14,"¥547,538",95.80%,33,"¥7,275",36.50%,39,"¥10,016",113.90%,46,"¥2,270,300",106.30%,40,"¥896,789",93.50%,13,"¥25,502",34.20%,31,"¥10,330",75.10%,12,"¥143,237",116.30%,23,¥0,0.00%,24,"¥79,868",137.00%,48,"¥701,017",116.30%
2025年24週(2025/09/08~2025/09/14),35,"¥3,350,073",96.90%,20,"¥508,801",92.90%,29,"¥7,707",33.10%,38,"¥10,032",92.90%,32,"¥2,553,155",111.80%,20,"¥967,429",95.40%,23,"¥23,095",32.20%,25,"¥11,400",105.60%,35,"¥130,108",96.00%,24,¥0,0.00%,38,"¥74,269",137.60%,38,"¥734,360",113.30%
