販売管理表(部門別５２週推移),,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚,,,,,,,,,,,,
,,,,,,,,,,,,
,004101:刺身,004101:刺身,004101:刺身,004102:切身･丸物,004102:切身･丸物,004102:切身･丸物,004103:甲殻類,004103:甲殻類,004103:甲殻類,004199:代表ｺｰﾄﾞ,004199:代表ｺｰﾄﾞ,004199:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年01週(2025/03/31~2025/04/06),27,"¥15,508,075",93.70%,33,"¥7,242,725",95.90%,21,"¥5,498,790",87.80%,15,"¥2,876",-943.00%
2025年02週(2025/04/07~2025/04/13),28,"¥15,500,153",93.50%,35,"¥6,894,239",90.90%,20,"¥5,624,207",98.90%,45,"¥-2,281",92.30%
2025年03週(2025/04/14~2025/04/20),19,"¥16,167,787",97.90%,34,"¥7,096,461",100.50%,41,"¥4,457,849",83.80%,38,¥-835,-115.20%
2025年04週(2025/04/21~2025/04/27),23,"¥15,814,975",91.60%,40,"¥6,367,892",95.10%,23,"¥5,390,978",84.20%,47,"¥-4,610",-273.40%
2025年05週(2025/04/28~2025/05/04),6,"¥17,736,788",82.20%,39,"¥6,406,233",98.40%,18,"¥5,770,089",85.00%,49,"¥-7,077",-1040.70%
2025年06週(2025/05/05~2025/05/11),5,"¥18,701,771",100.00%,47,"¥5,936,249",91.00%,22,"¥5,450,899",97.50%,39,"¥-1,013",-75.60%
2025年07週(2025/05/12~2025/05/18),16,"¥16,401,533",103.00%,36,"¥6,701,899",97.00%,26,"¥5,099,386",96.10%,19,"¥1,506",118.60%
2025年08週(2025/05/19~2025/05/25),14,"¥16,534,749",97.50%,44,"¥6,102,385",95.50%,28,"¥5,087,653",97.70%,42,"¥-1,345",-8.30%
2025年09週(2025/05/26~2025/06/01),25,"¥15,726,494",98.10%,37,"¥6,594,791",99.70%,32,"¥4,935,298",94.30%,28,¥0,0.00%
